GraphName,Vertices,Edges,Algorithm,TotalCost,OperationsCount,ExecutionTimeMs
Кіші граф (3 төбе, 3 қыр),3,3,Prim,3,7,0,006
Кіші граф (3 төбе, 3 қыр),3,3,Kruskal,3,29,0,023
Орташа граф (5 төбе, 5 қыр),5,5,Prim,8,13,0,008
Орташа граф (5 төбе, 5 қыр),5,5,Kruskal,8,55,0,021
Үлкен граф (10 төбе, 9 қыр),10,9,Prim,17,27,0,011
Үлкен граф (10 төбе, 9 қыр),10,9,Kruskal,17,122,0,042
